neighbourhood,average_price
Agronomia,26521
Almagro,63887
Balvanera,63874
Barracas,78986
Belgrano,65177
Boca,110164
Boedo,32032
Caballito,39427
Chacarita,43670
Coghlan,645650
Colegiales,51112
Constitucion,35423
Flores,31718
Floresta,32483
Liniers,35630
Mataderos,41705
Monserrat,40842
Monte Castro,52427
Nueva Pompeya,19963
Núñez,48287
Palermo,69081
Parque Avellaneda,53079
Parque Chacabuco,28261
Parque Chas,29480
Parque Patricios,30666
Paternal,28018
Puerto Madero,108950
Recoleta,56533
Retiro,62439
Saavedra,40949
San Cristobal,55747
San Nicolas,41533
San Telmo,46756
Velez Sarsfield,30206
Versalles,31018
Villa Crespo,44529
Villa Del Parque,32389
Villa Devoto,38156
Villa Gral. Mitre,27806
Villa Lugano,23107
Villa Luro,41502
Villa Ortuzar,40148
Villa Pueyrredon,34253
Villa Real,48358
Villa Riachuelo,11733
Villa Santa Rita,38173
Villa Soldati,4000
Villa Urquiza,99763
